ID,NAME,PWD,BIRTH,PHONE,IMAGE,EMAIL,POST,ADDRESS,DETAIL_ADDRESS,SUBJECT,ENROLL_DATE,START_DATE,END_DATE,STATUS,SORT,EMPLOYEE_DATE
ADMIN,관리자,ADMIN,NULL,NULL,DEFAULT,admin@gmail.com,NULL,NULL,NULL,NULL,SYSDATE,NULL,NULL,DEFAULT,1,NULL
INSTRUCTOR01,강사1,INSTRUCTOR01,NULL,NULL,DEFAULT,ins1@gmail.com,NULL,NULL,NULL,1,2019-01-01,2022-10-18,2023-05-19,DEFAULT,2,2019/01/01
USER01,학생1,USER01,NULL,NULL,DEFAULT,user01@gmail.com,NULL,NULL,NULL,1,2022-10-01,2022-10-18,2023-05-19,DEFAULT,3,NULL
USER02,학생2,USER02,NULL,NULL,DEFAULT,user02@gmail.com,NULL,NULL,NULL,4,2022-10-01,2022-11-18,2023-06-19,DEFAULT,3,NULL
USER03,학생3,USER03,NULL,NULL,DEFAULT,user03@gmail.com,NULL,NULL,NULL,6,2022-10-03,2022-11-18,2023-06-19,DEFAULT,3,NULL
USER04,학생4,USER04,NULL,NULL,DEFAULT,user04@naver.com,NULL,NULL,NULL,4,2022-10-03,2022-11-18,2023-06-19,DEFAULT,3,NULL
USER05,학생5,USER05,NULL,NULL,DEFAULT,user05@gmail.com,NULL,NULL,NULL,1,2022-10-03,2022-10-18,2023-05-19,DEFAULT,3,NULL
USER06,학생6,USER06,NULL,NULL,DEFAULT,user06@naver.com,NULL,NULL,NULL,6,2022-10-04,2022-11-18,2023-06-19,DEFAULT,3,NULL
USER07,학생7,USER07,NULL,NULL,DEFAULT,user07@gmail.com,NULL,NULL,NULL,1,2022-10-04,2022-10-18,2023-05-19,DEFAULT,3,NULL
USER08,학생8,USER08,NULL,NULL,DEFAULT,user08@naver.com,NULL,NULL,NULL,3,2022-10-04,2022-10-18,2023-05-19,DEFAULT,3,NULL
USER09,학생9,USER09,NULL,NULL,DEFAULT,user09@gmail.com,NULL,NULL,NULL,3,2022-10-04,2022-10-18,2023-05-19,DEFAULT,3,NULL
USER10,학생10,USER10,NULL,NULL,DEFAULT,user10@naver.com,NULL,NULL,NULL,3,2022-10-05,2022-10-18,2023-05-19,DEFAULT,3,NULL
USER11,학생11,USER11,NULL,NULL,DEFAULT,user11@gmail.com,NULL,NULL,NULL,1,2022-10-06,2022-10-18,2023-05-19,DEFAULT,3,NULL
USER12,학생12,USER12,NULL,NULL,DEFAULT,user12@naver.com,NULL,NULL,NULL,6,2022-10-07,2022-11-18,2023-06-19,DEFAULT,3,NULL
